Comprimento de Onda	IRR REAL 2
427,7547762	7,798411852
427,9739103	7,821884875
428,1930586	7,845359419
428,4122209	7,868835463
428,6313975	7,892313038
428,8505881	7,915792113
429,0697929	7,939272709
429,2890118	7,962754816
429,5082448	7,986238432
429,7274919	8,009723559
429,9467531	8,033210197
430,1660284	8,056698345
430,3853179	8,080188014
430,6046214	8,103679182
430,823939	8,127171861
431,0432707	8,150666051
431,2626165	8,17416175
431,4819764	8,19765896
431,7013503	8,22115767
431,9207383	8,24465789
432,1401404	8,26815962
432,3595566	8,291662861
432,5789868	8,315167601
432,798431	8,338673841
433,0178894	8,362181602
433,2373617	8,385690852
433,4568481	8,409201612
433,6763486	8,432713883
433,8958631	8,456227653
434,1153916	8,479742923
434,3349341	8,503259693
434,5544907	8,526777973
434,7740613	8,550297752
434,9936458	8,573819021
435,2132445	8,59734181
435,4328571	8,620866089
435,6524837	8,644391867
435,8721243	8,667919145
436,0917789	8,691447922
436,3114475	8,714978199
436,5311301	8,738509976
436,7508267	8,762043252
436,9705372	8,785578017
437,1902618	8,809114293
437,4100002	8,832652047
437,6297527	8,856191311
437,8495191	8,879732064
438,0692995	8,903274317
438,2890939	8,926818069
438,5089021	8,951122608
438,7287244	8,976202036
438,9485605	9,001283039
439,1684107	9,02636565
439,3882747	9,051449835
439,6081527	9,076535618
439,8280446	9,101622987
440,0479504	9,126711941
440,2678701	9,151802482
440,4878038	9,176894619
440,7077514	9,201988343
440,9277128	9,227083641
441,1476882	9,252180536
441,3676775	9,277279017
441,5876806	9,302379072
441,8076977	9,327480725
442,0277286	9,352583952
442,2477734	9,377688765
442,4678321	9,402795164
442,6879047	9,427903149
442,9079911	9,453012708
443,1280914	9,478123853
443,3482056	9,503236584
443,5683336	9,528350889
443,7884755	9,55346678
444,0086312	9,578584245
444,2288007	9,603703285
444,4489842	9,628823923
444,6691814	9,653946123
444,8893925	9,679069909
445,1096174	9,704195269
445,3298561	9,729322204
445,5501086	9,754450714
445,770375	9,779580809
445,9906552	9,804712479
